artist|cleaned genre|original genre
ENGLEBERT HUMPERDINCK|pop|oldies
JOHNNY TAYLOR|rnb / soul|soul
NAZZ|pop|60s
THE VILLAGE SOUL CHOIR|rnb / soul|soul
SERGIO MENDES AND BRAZIL '66|bossa nova|bossa nova
PETER, PAUL AND MARY|country / folk|folk
RICK NELSON & STONE CANYON BAND|country / folk|folk
EYDIE GORME|jazz|jazz
KING CRIMSON|rock|progressive rock
THE EXILES|country / folk|folk
PEGGY LEE|jazz|jazz
HERB ALPERT AND THE TIJUANA BRASS|jazz|jazz
THE BLUES MAGOOS|rock|garage rock
NEW COLONY SIX|pop|60s
THE SPIRAL STAIRCASE|pop|oldies
LES McCANN & EDDIE HARRIS|jazz|jazz
PAT SHANNON|rock|rockabilly
MARY WELLS|rnb / soul|soul
PLASTIC ONO BAND|rock|classic rock
CANNONBALL ADDERLY QUINTET|jazz|jazz
GENE PITNEY|pop|60s
BERLIN PHILHARMONIC|classical|classical
RUBY WINTERS|rnb / soul|soul
THE HAPPENINGS|pop|oldies
DELLA REESE|jazz|jazz
OTIS LEAVILL|rnb / soul|soul
NINA SIMONE|jazz|jazz
THE TEE SET|pop|70s
EXILES|synthwave|synthwave
SOUTHWEST F.O.B.|psychedelic|psychedelic
GEMINI|electronic|dubstep
DANNY DAVIS AND THE NASHVILLE BRASS|classic country|classic country
TOMMY CASH|hip-hop|hip-hop
NEWBEATS|pop|oldies
THE CANNONBALL ADDERLY QUINTET|jazz|jazz
ROTARY CONNECTION|rnb / soul|soul
BLOOD SWEAT AND TEARS|rock|classic rock
THE LOVELITES|rnb / soul|soul
JOHN MAYALL|rock|blues
BROTHER JACK McDUFF|jazz|jazz
JOHNNY ADAMS|rock|blues
MERILEE RUSH|pop|female vocalists
CLIQUE|electronica|electronica
GLORIA TAYLOR|rnb / soul|soul
SIMON STOKES & THE NIGHTHAWKS|rock|hard rock
HARLOW WILCOX|oklahoma|oklahoma
THE BUCHANAN BROTHERS|country / folk|country
THE JOE JEFFREY GROUP|pop|60s pop
LEE HAZELWOOD|country / folk|country
STEELERS|rautalanka|rautalanka
THE INTRIGUES|rnb / soul|soul
SIMON STOKES AND THE NIGHTHAWKS|rock|hard rock
THE SIR DOUGLAS QUINTET|pop|oldies
MONGO SANTAMARIA|jazz|jazz
LES McCANN & Eddie HARRIS|jazz|jazz
THE ELECTRIC INDIAN|rnb / soul|funk
TOMMY JAMES AND SHONDELLS|pop|60s
BILL DEAL AND THE RHONDELLS|pop|60s
DIANA TRASK|country / folk|country
A.B. SKHY|rock|blues rock
THE OHIO EXPRESS|pop|60s
THE CHANTELS|doo wop|doo wop
BYRDS|rock|classic rock
NEW ESTABLISHMENT|reggae|dub
SERGIO MENDES & BRASIL '66|bossa nova|bossa nova
JIMMY CLANTON|pop|oldies
DYKE & THE BLAZERS|rnb / soul|funk
THE NEW ESTABLISHMENT|reggae|dub
100 PROOF (AGED IN SOUL)|rnb / soul|soul
MOTHERLODE|rock|hard rock
THE GROOP|pop|60s
SOUND FOUNDATION|reggae|dub
1910 FRUITGUM CO.|bubblegum|bubblegum
THE MASKED MARAUDERS|hoax|hoax
LAWRENCE REYNOLDS|country / folk|country
KEITH BARBOUR|pop|pop
JOHN|techno|techno
COWSILLS|pop|60s
THE FIVE STAIRSTEPS AND CUBIE|rnb / soul|soul
THE EDWIN HAWKINS SINGERS|gospel|gospel
MAXINE BROWN|rnb / soul|soul
THE STEELERS|rautalanka|rautalanka
THOMAS & RICHARD FROST|pop|60s
THE EASY BEATS|pop|60s
THE MARVELETTES|rnb / soul|motown
THE HARDY BOYS|pop|sunshine pop
TRASH|rock|heavy metal
THE YOUNGBLOODS|rock|classic rock
SONNY CHARLES|rnb / soul|funk
FIVE STAIRSTEPS & CUBIE|rnb / soul|soul
WILLIE MITCHELL|rnb / soul|soul
THE RUGBYS|rock|garage rock
MOTHERLOAD|rock|rock
WIND|rock|progressive rock
BLACKWELL|rock|hard rock
THE ILLUSIONS|garage|garage
1910 FRUITGUM COMPANY|bubblegum|bubblegum
THE WINSTONS|rnb / soul|funk
BUCHANAN BROTHERS|country / folk|country
VIKKI CARR|pop|female vocalists
THOMAS AND RICHARD FROST|pop|60s
UNDERGROUND SUNSHINE|pop|60s
ZAGER AND EVANS|pop|60s
JOHN BARRY|soundtrack|soundtrack
IT'S A BEAUTIFUL DAY|rock|psychedelic rock
IKE AND TINA TURNER AND THE IKETTES|rnb / soul|soul
THE JIMI HENDRIX EXPERIENCE|rock|classic rock
SAGITTARIUS|neofolk|neofolk
PAUL REVERE & THE RAIDERS|pop|60s
THE CHECKMATES, LTD.|rnb / soul|soul
BASKERVILLE HOUNDS|pop|60s psychedelic and garage
ELECTRIC INDIAN|rnb / soul|funk
PIERO UMILIANI|soundtrack|soundtrack
DIANA ROSS & THE SUPREMES & THE TEMPTATIONS|rnb / soul|motown
ABACO DREAM|rnb / soul|funk
HARLOW WILCOX AND THE OAKIES|pop|60s
THE BASKERVILLE HOUNDS|pop|60s
ELLA FITZGERALD|jazz|jazz
THE FLYING MACHINE|pop|60s
ORPHEUS|rock|melodic death metal
BOOKER T & THE MGS|rnb / soul|soul
DICK HYMAN|jazz|jazz
JIM FORD|country / folk|country
SPOOKY TOOTH|rock|classic rock
ILUSION|rock|hard rock
EDDIE BO|rnb / soul|funk
BOOKER T. & THE MGS|rnb / soul|soul
NANCY SINATRA|pop|female vocalists
CRAZY ELEPHANT|pop|60s
CASCADES|post-hardcore|post-hardcore
THE BUCKINGHAMS|pop|60s
HUGO MONTENEGRO|soundtrack|soundtrack
ZAGER & EVANS|pop|60s
DONOVAN|country / folk|folk
CLASSICS IV|rock|classic rock
TIM HARDIN|country / folk|folk
OHIO EXPRESS|pop|60s
WAYLON JENNINGS & THE KIMBERLYS|country / folk|country
THE MAD LADS|rnb / soul|soul
MARVA WHITNEY|rnb / soul|funk
TED TAYLOR|rnb / soul|soul
GERALDINE STEVENS|spotify|spotify
CROSBY, STILLS & NASH|rock|classic rock
PAUL REVERE AND THE RAIDERS|pop|60s
BOB DARIN|jazz|jazz
BLINKY|rnb / soul|soul
VANILLA FUDGE|rock|psychedelic rock
THE MYSTICS|doo wop|doo wop
JOE JEFFREY GROUP|pop|60s pop
BUDDY MILES EXPRESS|rnb / soul|funk
WINSTONS|rnb / soul|funk
CAT MOTHER|rock|classic rock
HAPPENINGS|pop|oldies
WATTS 103RD STREET RHYTHM BAND|rnb / soul|funk
RUSSELL MORRIS|seen live|seen live
THE FLIRTATIONS|rnb / soul|soul
PEPPERMINT RAINBOW|pop|sunshine pop
